date,team1,team2,score1,score2
06.05.1994,Локомотив Витебск,Шахтер Солигорск,1,1
10.05.1994,Ведрич Речица,КИМ Витебск,0,0
10.05.1994,Строитель Старые Дороги,Динамо-93 Минск,0,2
10.05.1994,Торпедо Минск,Торпедо Могилев,0,0
11.05.1994,Локомотив Витебск,Днепр Могилёв,2,0
11.05.1994,Шахтер Солигорск,Фандок Бобруйск,0,0
11.05.1994,Шинник Бобруйск,Динамо Минск,0,1
11.05.1994,Гомсельмаш,Динамо Брест,4,2
25.05.1994,Молодечно,Неман Гродно,1,1
15.05.1994,Торпедо Минск,Молодечно,0,0
15.05.1994,Торпедо Могилев,Строитель Старые Дороги,1,0
15.05.1994,Неман Гродно,Динамо-93 Минск,1,1
16.05.1994,Гомсельмаш,Локомотив Витебск,0,3
16.05.1994,Днепр Могилёв,КИМ Витебск,2,0
16.05.1994,Динамо Брест,Ведрич Речица,1,0
16.05.1994,Шахтер Солигорск,Шинник Бобруйск,0,1
16.05.1994,Фандок Бобруйск,Динамо Минск,1,2
20.05.1994,Динамо-93 Минск,Молодечно,1,1
20.05.1994,Шинник Бобруйск,Торпедо Могилев,3,2
21.05.1994,Неман Гродно,Локомотив Витебск,2,1
21.05.1994,Фандок Бобруйск,Гомсельмаш,1,0
21.05.1994,Динамо Минск,Ведрич Речица,4,0
21.05.1994,Днепр Могилёв,Шахтер Солигорск,0,2
21.05.1994,Динамо Брест,Торпедо Минск,3,0
16.06.1994,КИМ Витебск,Строитель Старые Дороги,0,0
29.05.1994,Торпедо Минск,Фандок Бобруйск,2,1
29.05.1994,Торпедо Могилев,Динамо Брест,1,3
29.05.1994,Динамо Минск,Строитель Старые Дороги,4,0
29.05.1994,Локомотив Витебск,Динамо-93 Минск,1,0
29.05.1994,Ведрич Речица,Шинник Бобруйск,3,2
29.05.1994,Шахтер Солигорск,Неман Гродно,0,0
29.05.1994,Гомсельмаш,Днепр Могилёв,0,1
29.05.1994,Молодечно,КИМ Витебск,0,0
03.06.1994,Динамо Брест,Фандок Бобруйск,1,2
03.06.1994,Гомсельмаш,Динамо-93 Минск,1,2
03.06.1994,Торпедо Минск,Неман Гродно,1,0
03.06.1994,Молодечно,Ведрич Речица,0,1
03.06.1994,Строитель Старые Дороги,Шинник Бобруйск,1,2
03.06.1994,Торпедо Могилев,Днепр Могилёв,1,2
03.06.1994,Шахтер Солигорск,КИМ Витебск,0,1
03.06.1994,Локомотив Витебск,Динамо Минск,0,2
08.06.1994,Днепр Могилёв,Торпедо Минск,1,1
08.06.1994,КИМ Витебск,Локомотив Витебск,1,0
08.06.1994,Неман Гродно,Гомсельмаш,2,0
08.06.1994,Шинник Бобруйск,Динамо Брест,1,3
08.06.1994,Ведрич Речица,Строитель Старые Дороги,1,0
08.06.1994,Динамо-93 Минск,Шахтер Солигорск,4,0
09.06.1994,Фандок Бобруйск,Торпедо Могилев,3,1
09.06.1994,Динамо Минск,Молодечно,3,1
13.06.1994,Шинник Бобруйск,Динамо-93 Минск,1,0
13.06.1994,Шахтер Солигорск,Гомсельмаш,2,2
13.06.1994,КИМ Витебск,Неман Гродно,2,0
13.06.1994,Строитель Старые Дороги,Динамо Брест,0,1
14.06.1994,Молодечно,Торпедо Могилев,1,1
14.06.1994,Локомотив Витебск,Торпедо Минск,0,0
14.06.1994,Динамо Минск,Днепр Могилёв,3,1
14.06.1994,Ведрич Речица,Фандок Бобруйск,1,2
18.06.1994,Фандок Бобруйск,Строитель Старые Дороги,1,1
18.06.1994,Торпедо Минск,Шахтер Солигорск,1,0
18.06.1994,Гомсельмаш,Шинник Бобруйск,0,1
18.06.1994,Торпедо Могилев,Локомотив Витебск,0,2
18.06.1994,Днепр Могилёв,Ведрич Речица,4,0
18.06.1994,Динамо Брест,Молодечно,1,1
18.06.1994,Неман Гродно,Динамо Минск,1,3
18.06.1994,Динамо-93 Минск,КИМ Витебск,1,2
